-1 14
0, 0
0, 1
0, 2
0, 3
0, 4
0, 5
0, 6
0, 7
0, 13
0, 19
0, 20
0, 21
0, 22
0, 25
0, 26
0, 27
0, 28
1, 0
1, 4
1, 7
1, 13
1, 19
1, 22
1, 25
1, 28
2, 0
2, 4
2, 7
2, 13
2, 19
2, 22
2, 23
2, 24
2, 25
2, 28
3, 0
3, 4
3, 7
3, 13
3, 19
3, 25
3, 28
4, 0
4, 4
4, 7
4, 13
4, 19
4, 25
4, 28
5, 0
5, 1
5, 2
5, 3
5, 4
5, 5
5, 6
5, 7
5, 8
5, 9
5, 10
5, 11
5, 12
5, 13
5, 14
5, 15
5, 16
5, 17
5, 18
5, 19
5, 20
5, 21
5, 22
5, 23
5, 24
5, 25
5, 28
6, 0
6, 4
6, 13
6, 19
6, 22
6, 28
7, 0
7, 4
7, 13
7, 19
7, 22
7, 28
8, 0
8, 4
8, 5
8, 6
8, 7
8, 10
8, 11
8, 12
8, 13
8, 14
8, 15
8, 16
8, 17
8, 18
8, 19
8, 22
8, 23
8, 24
8, 25
8, 28
9, 0
9, 4
9, 7
9, 10
9, 16
9, 19
9, 22
9, 25
9, 28
10, 0
10, 4
10, 7
10, 10
10, 16
10, 19
10, 22
10, 25
10, 28
11, 0
11, 1
11, 2
11, 3
11, 4
11, 7
11, 8
11, 9
11, 10
11, 16
11, 19
11, 20
11, 21
11, 22
11, 25
11, 26
11, 27
11, 28
12, 4
12, 10
12, 16
12, 22
12, 28
13, 4
13, 10
13, 16
13, 22
13, 28
14, 0
14, 1
14, 2
14, 3
14, 4
14, 7
14, 8
14, 9
14, 10
14, 16
14, 19
14, 20
14, 21
14, 22
14, 25
14, 26
14, 27
14, 28
15, 0
15, 4
15, 7
15, 10
15, 16
15, 19
15, 22
15, 25
15, 28
16, 0
16, 4
16, 7
16, 10
16, 16
16, 19
16, 22
16, 25
16, 28
17, 0
17, 4
17, 5
17, 6
17, 7
17, 10
17, 11
17, 12
17, 13
17, 14
17, 15
17, 16
17, 17
17, 18
17, 19
17, 22
17, 23
17, 24
17, 25
17, 28
18, 0
18, 4
18, 13
18, 19
18, 22
18, 28
19, 0
19, 4
19, 13
19, 19
19, 22
19, 28
20, 0
20, 1
20, 2
20, 3
20, 4
20, 5
20, 6
20, 7
20, 8
20, 9
20, 10
20, 11
20, 12
20, 13
20, 14
20, 15
20, 16
20, 17
20, 18
20, 19
20, 20
20, 21
20, 22
20, 23
20, 24
20, 25
20, 28
21, 0
21, 4
21, 7
21, 13
21, 19
21, 25
21, 28
22, 0
22, 4
22, 7
22, 13
22, 19
22, 25
22, 28
23, 0
23, 4
23, 7
23, 13
23, 19
23, 22
23, 23
23, 24
23, 25
23, 28
24, 0
24, 4
24, 7
24, 13
24, 19
24, 22
24, 25
24, 28
25, 0
25, 1
25, 2
25, 3
25, 4
25, 5
25, 6
25, 7
25, 13
25, 19
25, 20
25, 21
25, 22
25, 25
25, 26
25, 27
25, 28
